Timestamp,PM2_5,PM10,Noise,Day,Hour
2025-11-01 08:00:00,42.5,68.2,65,Saturday,8
2025-11-01 12:00:00,35.2,56.1,58,Saturday,12
2025-11-01 18:00:00,47.8,72.5,70,Saturday,18
2025-11-01 21:00:00,28.4,45.6,55,Saturday,21

2025-11-02 08:00:00,40.1,63.8,62,Sunday,8
2025-11-02 12:00:00,33.0,54.2,52,Sunday,12
2025-11-02 18:00:00,44.6,68.4,68,Sunday,18
2025-11-02 21:00:00,27.2,44.1,50,Sunday,21

2025-11-03 08:00:00,55.2,90.1,72,Monday,8
2025-11-03 12:00:00,41.8,65.0,63,Monday,12
2025-11-03 18:00:00,60.3,102.9,77,Monday,18
2025-11-03 21:00:00,32.4,48.1,58,Monday,21

2025-11-04 08:00:00,58.7,94.5,75,Tuesday,8
2025-11-04 12:00:00,42.1,68.5,65,Tuesday,12
2025-11-04 18:00:00,62.4,109.3,80,Tuesday,18
2025-11-04 21:00:00,30.8,46.9,56,Tuesday,21

2025-11-05 08:00:00,61.3,101.4,78,Wednesday,8
2025-11-05 12:00:00,45.9,70.0,66,Wednesday,12
2025-11-05 18:00:00,64.2,112.6,82,Wednesday,18
2025-11-05 21:00:00,33.1,52.2,60,Wednesday,21

2025-11-06 08:00:00,63.0,104.2,80,Thursday,8
2025-11-06 12:00:00,47.8,73.3,68,Thursday,12
2025-11-06 18:00:00,66.0,115.5,85,Thursday,18
2025-11-06 21:00:00,34.7,55.1,62,Thursday,21

2025-11-07 08:00:00,65.8,108.6,82,Friday,8
2025-11-07 12:00:00,48.1,75.6,70,Friday,12
2025-11-07 18:00:00,67.4,118.7,88,Friday,18
2025-11-07 21:00:00,36.0,58.9,65,Friday,21

2025-11-08 08:00:00,52.4,95.5,68,Saturday,8
2025-11-08 12:00:00,39.7,60.1,55,Saturday,12
2025-11-08 18:00:00,58.1,100.3,74,Saturday,18
2025-11-08 21:00:00,30.5,48.3,57,Saturday,21
